TITLE = "0D Field KU"
VARIABLES = N ,"KU"
ZONE DATAPACKING = POINT
    0.200000000000E+001    0.224060554802E-036
    0.520000000000E+002    0.911608880247E-017
    0.102000000000E+003    0.545176473271E-013
    0.152000000000E+003    0.293294388770E-011
    0.202000000000E+003    0.340562315702E-010
    0.252000000000E+003    0.191161576491E-009
    0.302000000000E+003    0.709583600969E-009
    0.352000000000E+003    0.202450107278E-008
    0.402000000000E+003    0.482190858061E-008
    0.452000000000E+003    0.100776582298E-007
    0.502000000000E+003    0.190863867379E-007
    0.552000000000E+003    0.334822381546E-007
    0.602000000000E+003    0.552519857109E-007
    0.652000000000E+003    0.867410953686E-007
    0.702000000000E+003    0.130656067325E-006
    0.752000000000E+003    0.190064437774E-006
    0.802000000000E+003    0.268392286839E-006
    0.852000000000E+003    0.369419818775E-006
    0.902000000000E+003    0.497276160259E-006
    0.952000000000E+003    0.656434055118E-006
    0.100200000000E+004    0.851703905479E-006
    0.105200000000E+004    0.108822518613E-005
    0.110200000000E+004    0.137145586146E-005
    0.115200000000E+004    0.170716306989E-005
    0.120200000000E+004    0.210141467911E-005
    0.125200000000E+004    0.256057044989E-005
    0.130200000000E+004    0.309127334526E-005
    0.135200000000E+004    0.370044171336E-005
    0.140200000000E+004    0.439526225261E-005
    0.145200000000E+004    0.518318201735E-005
    0.150200000000E+004    0.607189777413E-005
    0.155200000000E+004    0.706934494797E-005
    0.160200000000E+004    0.818368895681E-005
    0.165200000000E+004    0.942331747915E-005
    0.170200000000E+004    0.107968325472E-004
    0.175200000000E+004    0.123130433604E-004
    0.180200000000E+004    0.139809601857E-004
    0.185200000000E+004    0.158097884623E-004
    0.190200000000E+004    0.178089209149E-004
    0.195200000000E+004    0.199879273480E-004
    0.200200000000E+004    0.223565453688E-004
    0.205200000000E+004    0.249246736833E-004
    0.210200000000E+004    0.277023659480E-004
    0.215200000000E+004    0.306998246483E-004
    0.220200000000E+004    0.339273959986E-004
    0.225200000000E+004    0.373955656354E-004
    0.230200000000E+004    0.411149535117E-004
    0.235200000000E+004    0.450963061767E-004
    0.240200000000E+004    0.493504876716E-004
    0.245200000000E+004    0.538884723677E-004
    0.250200000000E+004    0.587213400783E-004
    0.255200000000E+004    0.638602714042E-004
    0.260200000000E+004    0.693165434048E-004
    0.265200000000E+004    0.751015263272E-004
    0.270200000000E+004    0.812266804617E-004
    0.275200000000E+004    0.877035512214E-004
    0.280200000000E+004    0.945437616507E-004
    0.285200000000E+004    0.101759004752E-003
    0.290200000000E+004    0.109361038308E-003
    0.295200000000E+004    0.117361681456E-003
    0.300200000000E+004    0.125772811364E-003
    0.305200000000E+004    0.134606360514E-003
    0.310200000000E+004    0.143874314751E-003
    0.315200000000E+004    0.153588710600E-003
    0.320200000000E+004    0.163761630167E-003
    0.325200000000E+004    0.174405194106E-003
    0.330200000000E+004    0.185531555531E-003
    0.335200000000E+004    0.197152896531E-003
    0.340200000000E+004    0.209281425896E-003
    0.345200000000E+004    0.221929377001E-003
    0.350200000000E+004    0.235109006397E-003
    0.355200000000E+004    0.248832592599E-003
    0.360200000000E+004    0.263112433297E-003
    0.365200000000E+004    0.277960840029E-003
    0.370200000000E+004    0.293390131895E-003
    0.375200000000E+004    0.309412631063E-003
    0.380200000000E+004    0.326040660648E-003
    0.385200000000E+004    0.343286543384E-003
    0.390200000000E+004    0.361162600577E-003
    0.395200000000E+004    0.379681151613E-003
    0.400200000000E+004    0.398854512925E-003
    0.405200000000E+004    0.418694994769E-003
    0.410200000000E+004    0.439214895852E-003
    0.415200000000E+004    0.460426498042E-003
    0.420200000000E+004    0.482342063363E-003
    0.425200000000E+004    0.504973832934E-003
    0.430200000000E+004    0.528334026465E-003
    0.435200000000E+004    0.552434842083E-003
    0.440200000000E+004    0.577288456310E-003
    0.445200000000E+004    0.602907022759E-003
    0.450200000000E+004    0.629302668416E-003
    0.455200000000E+004    0.656487488491E-003
    0.460200000000E+004    0.684473542304E-003
    0.465200000000E+004    0.713272851562E-003
    0.470200000000E+004    0.742897400154E-003
    0.475200000000E+004    0.773359134338E-003
    0.480200000000E+004    0.804669963185E-003
    0.485200000000E+004    0.836841758588E-003
    0.490200000000E+004    0.869886353413E-003
    0.495200000000E+004    0.903815537404E-003
    0.500200000000E+004    0.938641052573E-003
    0.505200000000E+004    0.974374590300E-003
    0.510200000000E+004    0.101102779069E-002
    0.515200000000E+004    0.104861224302E-002
    0.520200000000E+004    0.108713948655E-002
    0.525200000000E+004    0.112662101118E-002
    0.530200000000E+004    0.116706825717E-002
    0.535200000000E+004    0.120849261264E-002
    0.540200000000E+004    0.125090540938E-002
    0.545200000000E+004    0.129431791897E-002
    0.550200000000E+004    0.133874135110E-002
    0.555200000000E+004    0.138418685376E-002
    0.560200000000E+004    0.143066551426E-002
    0.565200000000E+004    0.147818836034E-002
    0.570200000000E+004    0.152676636086E-002
    0.575200000000E+004    0.157641042489E-002
    0.580200000000E+004    0.162713139870E-002
    0.585200000000E+004    0.167894006165E-002
    0.590200000000E+004    0.173184712337E-002
    0.595200000000E+004    0.178586322304E-002
    0.600200000000E+004    0.184099893029E-002
    0.605200000000E+004    0.189726474660E-002
    0.610200000000E+004    0.195467110656E-002
    0.615200000000E+004    0.201322837822E-002
    0.620200000000E+004    0.207294686146E-002
    0.625200000000E+004    0.213383678461E-002
    0.630200000000E+004    0.219590830089E-002
    0.635200000000E+004    0.225917148646E-002
    0.640200000000E+004    0.232363634066E-002
    0.645200000000E+004    0.238931278741E-002
    0.650200000000E+004    0.245621067684E-002
